Law,Article,Subject,Behavior,Consequence
USCODE 2023 title18,§39(a)(1),Citizens,Knowingly selling traffic signal preemption transmitter to unauthorized users,Fine and/or imprisonment up to 1 year
,§39(a)(2),Citizens,Unauthorized use of traffic signal preemption transmitter,Fine and/or imprisonment up to 6 months
,§39A(a),Citizens,Knowingly aiming laser pointer at aircraft or its flight path,Fine and/or imprisonment up to 5 years
,§39B(a)(1),Citizens,Knowingly interfering with aircraft operation posing imminent safety hazard,Fine and/or imprisonment up to 1 year
,§39B(a)(2),Citizens,Recklessly interfering with aircraft operation posing imminent safety hazard,Fine and/or imprisonment up to 1 year
,§40(a),Drivers,Failing to stop commercial motor vehicle for inspection when directed,Must stop and submit to inspection
,§40(b),Drivers,Knowingly failing to stop for inspection or leaving without authorization,Fine and/or imprisonment up to 1 year
,§47(a),Citizens,Using aircraft/motor vehicle to hunt wild unbranded horses/burros on public land,Fine and/or imprisonment up to 6 months
,§47(b),Citizens,Polluting watering holes to trap/kill wild horses or burros,Fine and/or imprisonment up to 6 months
,§48(d)(2),Citizens,Good-faith distribution of animal crush videos to law enforcement or for analysis,Exempted from punishment
,§114,Citizens,"Maiming within maritime and territorial jurisdiction by cutting, biting, slitting, or disabling body parts",Fine and/or imprisonment up to 20 years
,§115(a)(1)(B),Citizens,"Threatening to assault, kidnap or murder a United States official, judge or law enforcement officer",Fine and/or imprisonment up to 10 years
,§115(b)(4),Citizens,Making threats against federal officials or their family members,Fine and/or imprisonment up to 6 years
,§116(a)(2),Guardian,Being a parent/guardian who facilitates female genital mutilation of a person under 18,Fine and/or imprisonment up to 10 years
,§116(c),Citizens,"Using religion, custom, tradition or ritual as defense for female genital mutilation",Not acceptable as legal defense
,§117(b),Citizens,"Committing domestic assault against spouse, parent, child or guardian",Fine and/or imprisonment up to 5 years; up to 10 years if substantial bodily injury results
,§118,Citizens,Interfering with federal law enforcement agents performing protective functions,Fine and/or imprisonment up to 1 year
,§111(a),Citizens,Simple assault against federal officers or employees,Fine and/or imprisonment up to 1 year
,§112(b)(1),Citizens,"Intimidating, coercing or harassing foreign officials or official guests",Fine and/or imprisonment up to 6 months
,§113(a)(4),Citizens,"Assault by striking, beating or wounding within maritime jurisdiction",Fine and/or imprisonment up to 1 year
,§209,Government employees,Receiving salary or supplementation from sources other than US government for official services,Fine and/or imprisonment up to 1 year
,§210,Citizens,Paying money to procure appointive office under United States,Fine under title and/or imprisonment up to 1 year
,§211,Citizens,Soliciting or receiving payment to help obtain government employment,Fine under title and/or imprisonment up to 1 year
,§212,Financial institution officers,Making loans or giving gratuities to examiners who examine their institution,Fine under title and/or imprisonment up to 1 year plus additional fine equal to money loaned
,§213,Bank examiners,Accepting loans or gratuities from banks they examine,"Fine under title and/or imprisonment up to 1 year, plus fine equal to money received and disqualification from office"
,§214,Citizens,Giving undisclosed fees for procuring Federal Reserve bank loans,Fine under title and/or imprisonment up to 1 year
,§215(a),Financial institution employees,Accepting bribes or rewards in connection with bank business,"Fine up to $1,000,000 or three times the value and/or imprisonment up to 30 years"
,§215(c),Financial institution employees,Accepting legitimate salary and business expenses,No penalty - explicitly allowed
,§216(a)(1),Government officials,Violating conflict of interest statutes (§203-209),Fine and/or imprisonment up to 1 year
,§216(a)(2),Government officials,Willfully violating conflict of interest statutes (§203-209),Fine and/or imprisonment up to 5 years
,§207(a),Former government employees,Communicating with intent to influence current government employees about matters they participated in while employed,Fine and/or imprisonment up to 15 years
,§207(b),Former government officials,Aiding or advising on trade/treaty negotiations within 1 year after leaving office,Fine and/or imprisonment as specified in §216
,§207(c),Senior government employees,Communicating with intent to influence former agency within 1 year of leaving,Fine and/or penalties under §216
,§207(f),Former officials,Representing foreign entities to influence US government within 1 year of leaving office,Fine and/or penalties under §216
,§208(a),Government employees,Participating in matters affecting personal financial interests,Penalties under §216
,§208(b)(1),Government employees,Disclosing financial interests and receiving advance written determination of no conflict,Exemption from penalties
,§208(b)(2),Government employees,Having financial interests exempted by regulation as too remote to affect integrity,Exemption from penalties
,§208(b)(3),Special government employees,Serving on advisory committees with disclosed conflicts when need outweighs potential conflict,Exemption from penalties
,§208(b)(4),Government employees,Having financial interests in Indian tribes/allotments not specifically involved in the matter,Exemption from penalties
,922(a)(5),Any person,"Transfer, sell, trade, give, transport, or deliver any firearm to a non-resident",Fine and/or imprisonment up to 5 years
,922(b)(1),Licensed dealers,"Sell or deliver firearms/ammunition to individuals under 18, or handguns to those under 21",Fine and/or imprisonment up to 5 years
,922(x)(1),Any person,Sell or transfer handguns or handgun ammunition to juveniles (under 18),Fine and/or imprisonment up to 1 year
,922(x)(2),Juveniles,Knowingly possess a handgun or handgun ammunition,Fine and/or imprisonment up to 1 year
,922(z)(1),Licensed dealers,Sell or transfer handgun without providing secure gun storage or safety device,Fine and/or imprisonment up to 2 years
,922(e),Any person,Ship firearms via common carrier without written notice,Fine and/or imprisonment up to 5 years
,922(g)(5),Aliens,Possess firearms while illegally/unlawfully in the United States,Fine and/or imprisonment up to 10 years
,922(i),Any person,Transport or ship stolen firearms in interstate commerce,Fine and/or imprisonment up to 10 years
,922(k),Any person,Possess firearm with removed/altered serial number,Fine and/or imprisonment up to 5 years
,922(q)(2)(A),Any person,Knowingly possess firearm in school zone,Fine and/or imprisonment up to 5 years
Criminal Code of Canada,11,Citizens,Filing a civil remedy for an act that is also a criminal offense,Civil remedy rights are not suspended or affected
,12,Citizens,Committing an act that violates multiple laws,Can be prosecuted under any applicable law but cannot be punished more than once for the same offense
,13,Children,Committing any offense while under age 12,No criminal conviction possible
,14,Citizens,Consenting to have death inflicted upon oneself,Consent does not affect criminal responsibility of person who causes death
,15,Citizens,Acting in compliance with de facto laws enforced by those in possession of sovereign power,No criminal conviction possible
,17,Citizens,Committing offense under compulsion by threats of immediate death/harm from person present,"Excused from criminal responsibility except for serious offenses like murder, assault, etc."
,18,Married Persons,Committing offense in presence of spouse,No presumption of acting under spousal compulsion
,19,Citizens,Committing offense while ignorant of the law,Ignorance of law is not an excuse
,20,Legal Documents,"Executing warrants, summons, notices on holidays",Valid if authorized by law
,21(1),Citizens,Aiding or encouraging someone to commit an offense,Legally considered a party to the offense
,22(1),Citizens,Counseling another person to commit an offense,Person who counseled is party to offense even if committed differently
,22(2),Citizens,Counseling offense leading to additional crimes,Counselor is party to every foreseeable consequential offense
,25.1(1),Law Enforcement,Officers acting reasonably and proportionally to enforce laws,Not criminally responsible for necessary law enforcement acts
,25.2,Private Citizens,Using reasonable force to prevent offense or assist arrest,Not criminally responsible if force is reasonable
,25.3,Property Owners,Using reasonable force to prevent trespass,Not criminally responsible if force isn't intended to cause death/harm
,25.4,Property Possessors,Using reasonable force to protect property,Not criminally responsible if force is reasonable
,26,Law Enforcement,Using necessary force to prevent escape from custody,Not criminally responsible if reasonable grounds exist
,27(1),Property Owners,Using force to prevent break-in to dwelling house,Not criminally responsible if reasonable force used
,27(2),Property Owners,Using force to prevent break-in to real property,Not criminally responsible if no intent to cause death/harm
,28,Officers/Citizens,Making arrest with reasonable grounds,Not criminally responsible if force is reasonable
,56(a),Citizens,Persuading or counseling a member of the Royal Canadian Mounted Police to desert or absent themselves without leave,Guilty of an offence punishable on summary conviction
,56(b),Citizens,"Aiding, assisting, harboring or concealing an RCMP member who is a deserter or absent without leave",Guilty of an offence punishable on summary conviction
,66(1),Citizens,Being a member of an unlawful assembly,Guilty of an offence punishable on summary conviction
,69,Peace Officers,Receiving notice of a riot within their jurisdiction and failing without reasonable excuse to take steps to suppress it,Imprisonment up to 2 years or punishable on summary conviction
,72(1),Citizens,Taking forcible possession of real property that is in peaceful possession of another in a manner likely to cause breach of peace,Liable to be charged with forcible entry
,72(2),Citizens,Detaining real property in a manner likely to cause breach of peace against a person with legal right to possession,Liable to be charged with forcible detainer
,73,Citizens,Committing forcible entry or forcible detainer,Imprisonment up to 2 years or punishable on summary conviction
,78(1),Citizens,Taking offensive weapons or explosive substances aboard civil aircraft without proper authorization,Imprisonment up to 14 years
,79,Citizens,Failing to use reasonable care to prevent harm when in possession of explosive substances,Legal duty to prevent bodily harm/death/property damage
,83(1),Citizens,"Participating in, promoting, or being present at an unauthorized prize fight as an aid, second, surgeon, umpire, backer or reporter",Punishable on summary conviction
,80,Citizens,"Failing to perform legal duty regarding explosive substances without lawful excuse, causing death or likely death",Imprisonment for life
,80(b),Citizens,Failing to perform legal duty regarding explosive substances causing bodily harm or property damage,Imprisonment up to 14 years
,81(1)(a),Citizens,Doing anything with intent to cause explosion likely to cause serious injury/death,Imprisonment for life
,81(1)(b),Citizens,"Intentionally causing explosion, sending explosives, or placing corrosive fluids to harm others",Imprisonment for life
,81(1)(c),Citizens,Placing explosives with intent to destroy property without lawful excuse,Imprisonment up to 14 years
,81(1)(d),Citizens,Making or possessing explosives with intent to endanger life or enable another to do so,Imprisonment up to 14 years
,82(1),Citizens,Making or possessing explosive substances without lawful excuse,Imprisonment up to 5 years or summary conviction
,82(2),Citizens,Making/possessing explosives for benefit of criminal organization,Imprisonment up to 14 years
,63(1),Citizens,Participating in assembly of 3+ persons likely to cause fear of disturbing peace,Liable for unlawful assembly
,64,Citizens,Participating in a riot (unlawful assembly begun to disturb peace tumultuously),Subject to riot charges
