Law,Article,Subject,Behavior,Consequence
,Article 56(2),Hotel Staff,Hotel staff knowing guests are criminal suspects or wanted by police and failing to report to police,"Fine of 200-500 yuan; for serious cases, detention up to 5 days with possible fine up to 500 yuan"
German Administrative Offences Act (OWiG),§121.(1).2,Responsible Person,"As supervisor, failing to take necessary precautions for animal supervision",Fine
,§111.(1),Offender over fourteen years,"Making false statements about first name, family name or birth name to competent authority",Fine up to 1000 euros
,§122.(1),Offender,Intentionally or negligently becoming intoxicated and committing an offense punishable by fine in this state,Fine corresponding to the offense committed while intoxicated
,§117.(1),Offender,Creating noise without justifiable cause that is likely to disturb the general public,Fine up to 5000 euros
,§118.(1),Offender,Performing a grossly improper act that impairs public order,Fine
,§116.(1),Offender,Publicly calling for commission of an administrative offense in an assembly or through distribution of content,Maximum fine for the called-for offense
,§119.(1).1,Offender,Behaving in public in a way likely to harass others,Fine up to 1000 euros
,§119.(1).2,Offender,Distributing or making publicly accessible content in a grossly offensive manner,Fine up to 10000 euros
,§124.(1).2,Offender,Unauthorized use of service flag of federation or state,Fine
,§126.(1).1,Offender,Unauthorized wearing of professional dress or badge for healthcare or welfare work,Fine
,§126.(1).2,Offender,Unauthorized wearing of professional dress or badge of religious association,Fine
,§127.(1).1,Offender,"Manufacturing plates, molds, printing blocks for producing money without written permission",Fine up to 10000 euros
,§113.(1),Offender,Joining or not leaving a public gathering after three lawful orders to disperse,Fine up to 1000 euros
,§114.(1),Offender,Intentionally or negligently entering military facility or installation contrary to prohibition,Fine
,§115.(1).1,Offender,Transmitting items or messages to or from a prisoner,Fine
,§128.(1).1,Offender,Producing or distributing printed materials that could be confused with currency,Fine up to 10000 euros
,§121.(1).1,Offender,Allowing dangerous wild animal or vicious animal to roam freely,Fine
,§57.(1),Official,Exercising authority under §56 for administrative authority in field service without identification,Fine
,§112.(1),Offender,Violating orders,Fine up to 5000 euros
,§110.(1),Offender,Compensation obligation for financial damage caused by prosecution measure in administrative offense proceedings,Fine corresponding to damage
German Criminal Code (StGB),§142.(1),Offender as Accident Participant,Leaving accident scene without enabling necessary determinations,Imprisonment up to 3 years or fine
,§145.(1),Offender,Misusing emergency calls or signals,Imprisonment up to 1 year or fine
,§123.(1),Offender,Unlawfully entering another's dwelling,Imprisonment up to 1 year or fine
,§303.(1),Offender,Damaging or destroying property of another,Imprisonment up to 2 years or fine
,§229.,Offender,Negligently causing bodily injury to another person,Imprisonment up to 3 years or fine
,§123.(1),Offender,Unlawfully entering another's dwelling or business premises,Imprisonment up to 1 year or fine
,§107.(1),Offender,Disturbing election through violence or threats,Imprisonment up to 5 years or fine
,§107a.(1),Offender,Voting without authorization or producing incorrect result,Imprisonment up to 5 years or fine
,§107b.(1).1,Offender,Obtaining registration in voter list through false statements,Imprisonment up to 6 months or fine
,§120.(1),Offender,"Freeing prisoner, inducing or assisting escape",Imprisonment up to 3 years or fine
,§127.(1),Offender,Operating internet trading platform aimed at enabling or promoting illegal acts,Imprisonment up to 5 years or fine
French Public Security Law,L211-1,Any person,Organizing parades and gatherings without prior declaration,Application of penalties prescribed by law
,L232-5,Transport Company,Transmitting unusable data due to non-compliance with format or obviously false data,"Fine up to 50,000 euros per journey"
,L224-1,Any French citizen,Leaving or attempting to leave territory in violation of travel ban,"3 years imprisonment and 45,000 euro fine"
,L227-2,Any person,Violating closure order of a place of worship,"6 months imprisonment and 7,500 euro fine"
,L214-4,Agents,Refusing to respond to requests from judicial police officers,Opposition to professional secrecy obligation
,L233-1,Police and Gendarmerie Services,Implementing control devices without justification,Cancellation of controls performed
,L320-7,"Minors, even emancipated",Participating in gambling and games of chance,Prohibition
,L320-8,Game Operators,Selling or offering free games of chance to minors,Prohibition
,L320-11,Game Operators,Failing to inform players of risks related to excessive gambling,Administrative sanction
,L320-12,Game Operators,Advertising in publications intended for minors,Prohibition
,L320-17,Any person,Lending money to players or setting up systems allowing players to lend to each other,"Fine of 100,000 euros"
,L322-4,Organizers,Organizing lotteries with stakes higher than 20 euros,Fine
,L511-4,Municipal Police Officers,Not wearing professional card and uniform during service,Disciplinary sanctions
,L511-7,Appointed Agents,Exercising without integration training,Suspension of duties
,L521-1,Rural Guards,Drawing up reports without being sworn in,Nullity of acts
,L612-2,Security Companies,Carrying out activities not related to surveillance,Withdrawal of authorization
,L612-4,Security Agents,Interfering in labor disputes,Disciplinary sanctions
,L612-5,Companies,Operating without professional liability insurance,Administrative closure
,L614-3,Building Security Agents,Not wearing uniform and professional card while on duty,Warning and administrative sanctions
,L612-20,Foreign Nationals in Security,Working without residence permit and work authorization,Withdrawal of professional card
,L617-6,Private Security Company,Claiming status of former civil servant or military personnel,"Fine of 3,750 euros"
,L622-3,Private Investigation Agencies,Using name causing confusion with public service,"Fine of 3,750 euros"
,L617-8,Private Security Company,Employing person without professional card,"Fine of 30,000 euros"
,L724-3,Civil Security Reserves,Serving without corresponding capabilities and skills for missions,Prohibition from participating in missions
,L724-4,Engaged Persons,Exceeding fifteen working days per calendar year in reserve,Administrative sanction
,L724-7,Employee,Not obtaining employer's agreement to serve in reserve,Refusal of participation
,L724-14,Citizen Reserves,Conducting awareness actions without authorization,Suspension of activities
